date,open,high,low,close,volume,vwap
09/01/2013 18:18:59,1640.25,1642,1639,1641.25,21722,1640.667273
09/01/2013 21:42:07,1641.25,1643.5,1639.75,1640.75,21706,1641.830116
09/02/2013 02:05:25,1640.75,1644.5,1640.5,1644.5,21652,1643.149905
09/02/2013 03:01:56,1644.5,1646,1642.75,1645,21709,1644.556854
09/02/2013 04:32:44,1645,1647.25,1644.25,1645.5,21646,1646.012254
09/02/2013 06:40:20,1645.5,1648,1645.25,1648,21595,1646.641549
09/02/2013 08:06:34,1648,1648.5,1646,1646.5,21644,1647.493254
09/02/2013 09:47:06,1646.75,1647.75,1645.25,1647.5,21688,1646.371507
09/02/2013 18:20:35,1647.5,1648.5,1645.25,1646,21622,1647.418937
09/02/2013 23:27:37,1646,1648.25,1645.25,1647.75,21648,1647.043434
09/03/2013 02:11:44,1647.75,1649,1646.25,1647,21629,1647.82639
09/03/2013 03:06:28,1647,1648.5,1646.5,1648,21632,1647.545766
09/03/2013 03:54:23,1648,1648.5,1643.5,1643.75,21639,1646.498995
09/03/2013 04:00:01,1643.75,1644.5,1642.5,1643.25,21629,1643.313225
09/03/2013 04:09:53,1643.25,1646.75,1642.25,1643.5,21717,1644.297612
09/03/2013 04:48:07,1643.5,1645.5,1642.25,1644,21699,1643.978156
09/03/2013 06:05:01,1644,1647,1642.75,1645.25,21644,1645.275573
09/03/2013 06:53:54,1645.25,1647,1642.5,1644,21590,1644.512367
09/03/2013 07:37:17,1644,1646.25,1643.5,1646,21732,1644.692516
09/03/2013 08:16:14,1646,1647,1645.5,1646,21685,1646.22949
09/03/2013 08:30:05,1646,1647,1645.5,1647,21590,1646.274954
09/03/2013 08:31:19,1647,1648.75,1646.25,1648.75,21689,1647.635783
09/03/2013 08:32:05,1648.75,1649.25,1647.75,1647.75,21604,1648.457589
09/03/2013 08:33:54,1647.75,1649,1647.5,1649,21618,1648.506846
09/03/2013 08:35:18,1649,1649.5,1647.75,1649.5,21583,1648.686072
09/03/2013 08:37:17,1649.5,1650,1648.5,1648.75,21655,1649.289656
09/03/2013 08:40:20,1648.75,1649.75,1648.25,1649.5,21617,1648.828734
09/03/2013 08:43:12,1649.5,1649.75,1647.5,1648.25,21618,1648.414839
09/03/2013 08:47:05,1648.25,1648.5,1647.25,1647.5,21631,1647.785481
09/03/2013 08:51:22,1647.5,1648,1646.75,1647.5,21632,1647.371325
09/03/2013 08:55:37,1647.5,1647.75,1646.25,1647.5,21642,1646.877634
09/03/2013 09:01:00,1647.5,1648,1645.5,1645.75,21497,1646.95047
09/03/2013 09:02:48,1645.75,1646.25,1644.25,1645.5,21801,1645.297796
09/03/2013 09:06:22,1645.5,1647.25,1645,1647.25,21649,1646.266225
09/03/2013 09:10:25,1647.25,1647.5,1645.5,1647.25,21596,1646.610889
09/03/2013 09:13:21,1647.25,1648.75,1647,1648,21678,1647.797617
09/03/2013 09:17:17,1648,1648.5,1645.5,1645.75,21629,1647.073073
09/03/2013 09:21:27,1645.75,1646.25,1644,1644.5,21654,1645.206451
09/03/2013 09:26:00,1644.5,1645.25,1643.75,1645,21675,1644.493795
09/03/2013 09:30:32,1645,1645.75,1644.5,1645,21653,1645.123378
09/03/2013 09:37:01,1645,1646.5,1644.75,1646,21626,1645.875913
09/03/2013 09:44:58,1646,1647,1645.75,1646.75,21695,1646.390689
09/03/2013 09:50:20,1646.75,1647.75,1646.5,1646.5,21610,1647.111777
09/03/2013 09:57:05,1646.5,1646.5,1644.75,1644.75,21685,1645.775651
09/03/2013 10:01:34,1644.75,1646,1644.5,1645.5,21662,1645.201678
09/03/2013 10:11:46,1645.5,1646.5,1644.75,1646.25,21655,1645.651743
09/03/2013 10:18:05,1646.25,1646.75,1644,1644.75,21657,1645.391271
09/03/2013 10:20:24,1644.75,1645.25,1642.5,1643,21674,1643.60553
09/03/2013 10:23:01,1643,1643.25,1641.5,1641.75,21691,1642.441739
09/03/2013 10:24:27,1641.5,1642,1640,1640.5,21737,1640.819858
09/03/2013 10:27:02,1640.5,1641.5,1640.25,1640.75,21724,1640.844745
